,code,name,mbrg,nprg,nav,targ,epsg,seg
3198,000923,河北宣工,-34.6326,-1857.3537,-13.9898,-4.0659,-1858.4541,-13.9898
3199,002569,步森股份,-25.9768,-1877.8796,-16.886,-9.5925,-1925.0,-16.8367
3200,600339,中油工程,-14.093,-1923.3382,-15.5731,1.0114,-3249.4624,-14.4693
3201,000038,深大通,26.5726,-1990.3563,-27.2404,0.3491,-2542.8571,-30.995
3202,002336,人人乐,-4.711,-2045.6437,-17.4165,-7.141,-2044.7635,-17.4165
3203,000010,美丽生态,-36.4488,-2076.4653,-16.3858,-21.7526,-2492.4528,-11.9553
3204,002423,中原特钢,-7.4029,-2114.6519,13.701,19.2296,-2090.0,13.701
3205,000505,珠江控股,6.0344,-2185.6129,-85.1095,32.9416,-1466.6667,-86.6645
3206,000933,神火股份,-6.6963,-2331.3101,-6.8944,17.7871,-411.129,-9.396
3207,600806,*ST昆机,-18.3421,-2346.1853,-14.7218,0.7823,-2845.0,-18.1167
3208,600618,氯碱化工,0.5907,-2420.4084,-23.2985,-3.9693,-3658.3333,-23.9992
3209,601600,中国铝业,-18.0687,-2456.5899,-26.2062,-3.446,-1814.2857,-36.2553
3210,600432,*ST吉恩,49.2935,-2658.444,187.8463,33.032,-541.6667,176.5351
3211,600213,亚星客车,21.9274,-2671.8542,-54.4851,18.8903,-3400.0,-76.3456
3212,600227,赤天化,-20.8001,-3002.9123,-14.8939,-10.4705,-5268.3761,-17.5734
3213,002359,北讯集团,-14.8834,-3124.7855,-8.1253,-4.6879,-2840.2778,-8.1101
3214,002289,宇顺电子,90.4396,-3133.3545,9.3386,2.7027,-2551.5528,9.0363
3215,000782,美达股份,-9.0936,-3243.1784,17.7322,-2.8519,-1833.3333,19.5752
3216,600179,安通控股,-34.2137,-3284.8092,-98.0396,-31.5063,-2700.0,-97.798
3217,600789,鲁抗医药,4.5876,-3426.9446,-7.9852,0.2493,-1200.0,-7.7712
3218,600744,华银电力,-16.7003,-3568.6151,-28.3887,-7.0012,-1350.0,-12.0372
3219,600152,维科精华,-46.0082,-3842.418,-28.7981,-24.8446,-869.1207,-27.3089
3220,002379,宏创控股,-15.4859,-4874.3143,-21.6413,-25.6877,-1966.5,-21.097
3221,600707,彩虹股份,-33.4064,-5308.5821,-19.3467,-21.5698,-1462.7451,-30.9768
3222,600862,中航高科,49.3743,-5342.2963,-18.0878,13.9307,-8100.0,-18.029
