,code,name,date,weight
66,000931,中 关 村,2017-06-01,0.11
67,600971,恒源煤电,2017-06-01,0.1
68,601689,拓普集团,2017-06-01,0.18
69,002233,塔牌集团,2017-06-01,0.11
70,600348,阳泉煤业,2017-06-01,0.2
71,600017,日照港,2017-06-01,0.22
72,600426,华鲁恒升,2017-06-01,0.33
73,000572,海马汽车,2017-06-01,0.16
74,002407,多氟多,2017-06-01,0.25
75,600611,大众交通,2017-06-01,0.18
76,000656,金科股份,2017-06-01,0.68
77,002048,宁波华翔,2017-06-01,0.22
78,600516,方大炭素,2017-06-01,0.3
79,600409,三友化工,2017-06-01,0.22
80,002002,鸿达兴业,2017-06-01,0.19
81,002277,友阿股份,2017-06-01,0.15
82,600521,华海药业,2017-06-01,0.34
83,002078,太阳纸业,2017-06-01,0.23
84,600298,安琪酵母,2017-06-01,0.26
85,002701,奥瑞金,2017-06-01,0.25
86,002405,四维图新,2017-06-01,0.41
87,603019,中科曙光,2017-06-01,0.26
88,000970,中科三环,2017-06-01,0.29
89,600460,士兰微,2017-06-01,0.13
90,600366,宁波韵升,2017-06-01,0.18
91,000825,太钢不锈,2017-06-01,0.25
92,601699,潞安环能,2017-06-01,0.23
93,600500,中化国际,2017-06-01,0.26
94,600487,亨通光电,2017-06-01,0.58
95,600418,江淮汽车,2017-06-01,0.27
96,000761,本钢板材,2017-06-01,0.04
97,002191,劲嘉股份,2017-06-01,0.23
98,600280,中央商场,2017-06-01,0.12
99,600503,华丽家族,2017-06-01,0.26
100,000426,兴业矿业,2017-06-01,0.12
101,600635,大众公用,2017-06-01,0.28
102,600584,长电科技,2017-06-01,0.4
103,600640,号百控股,2017-06-01,0.1
104,600466,蓝光发展,2017-06-01,0.19
105,600395,盘江股份,2017-06-01,0.12
106,002238,天威视讯,2017-06-01,0.06
107,000997,新 大 陆,2017-06-01,0.36
108,000552,靖远煤电,2017-06-01,0.13
109,600751,天海投资,2017-06-01,0.2
110,002128,露天煤业,2017-06-01,0.16
111,002358,森源电气,2017-06-01,0.18
112,600200,江苏吴中,2017-06-01,0.17
113,002022,科华生物,2017-06-01,0.2
114,601002,晋亿实业,2017-06-01,0.11
115,002315,焦点科技,2017-06-01,0.08
116,000960,锡业股份,2017-06-01,0.23
117,600316,洪都航空,2017-06-01,0.17
118,600651,飞乐音响,2017-06-01,0.15
119,002642,荣之联,2017-06-01,0.18
120,300297,蓝盾股份,2017-06-01,0.13
121,000897,津滨发展,2017-06-01,0.17
122,600497,驰宏锌锗,2017-06-01,0.27
123,002092,中泰化学,2017-06-01,0.39
124,603377,东方时尚,2017-06-01,0.05
125,600198,大唐电信,2017-06-01,0.21
126,000758,中色股份,2017-06-01,0.21
127,600545,新疆城建,2017-06-01,0.16
128,600138,中青旅,2017-06-01,0.31
