,code,name,date,weight
147,600886,国投电力,2016-08-01,0.28
148,600875,东方电气,2016-08-01,0.14
149,600871,石化油服,2016-08-01,0.08
150,600649,城投控股,2016-08-01,0.25
151,600582,天地科技,2016-08-01,0.09
152,600485,信威集团,2016-08-01,0.23
153,600406,国电南瑞,2016-08-01,0.25
154,600170,上海建工,2016-08-01,0.14
155,600019,宝钢股份,2016-08-01,0.28
156,600011,华能国际,2016-08-01,0.36
157,600008,首创股份,2016-08-01,0.11
158,300315,掌趣科技,2016-08-01,0.23
159,300017,网宿科技,2016-08-01,0.4
160,002465,海格通信,2016-08-01,0.22
161,002183,怡 亚 通,2016-08-01,0.18
162,002153,石基信息,2016-08-01,0.09
163,002129,中环股份,2016-08-01,0.13
164,000783,长江证券,2016-08-01,0.4
165,000776,广发证券,2016-08-01,0.56
166,000709,河钢股份,2016-08-01,0.14
167,000413,东旭光电,2016-08-01,0.25
168,000100,TCL 集团,2016-08-01,0.29
169,000061,农 产 品,2016-08-01,0.12
170,000027,深圳能源,2016-08-01,0.09
171,002142,宁波银行,2016-08-01,0.35
172,300059,东方财富,2016-08-01,0.47
173,600703,三安光电,2016-08-01,0.29
174,600332,白云山,2016-08-01,0.16
175,002024,苏宁云商,2016-08-01,0.45
176,002252,上海莱士,2016-08-01,0.24
177,601169,北京银行,2016-08-01,1.19
178,300002,神州泰岳,2016-08-01,0.14
179,000001,平安银行,2016-08-01,0.74
180,600666,奥瑞德,2016-08-01,0.09
181,600016,民生银行,2016-08-01,2.54
182,601377,兴业证券,2016-08-01,0.42
183,000415,渤海金控,2016-08-01,0.15
184,002475,立讯精密,2016-08-01,0.2
185,600109,国金证券,2016-08-01,0.27
186,002152,广电运通,2016-08-01,0.14
187,601179,中国西电,2016-08-01,0.12
188,600685,中船防务,2016-08-01,0.08
189,600153,建发股份,2016-08-01,0.22
190,002594,比亚迪,2016-08-01,0.37
191,601933,永辉超市,2016-08-01,0.22
192,600061,国投安信,2016-08-01,0.21
193,601398,工商银行,2016-08-01,1.22
194,000651,格力电器,2016-08-01,0.99
195,601390,中国中铁,2016-08-01,0.44
196,600208,新湖中宝,2016-08-01,0.17
197,600674,川投能源,2016-08-01,0.24
198,600578,京能电力,2016-08-01,0.07
199,601016,节能风电,2016-08-01,0.02
200,600157,永泰能源,2016-08-01,0.17
201,600415,小商品城,2016-08-01,0.2
202,600660,福耀玻璃,2016-08-01,0.26
203,601988,中国银行,2016-08-01,0.82
204,600317,营口港,2016-08-01,0.08
205,600867,通化东宝,2016-08-01,0.25
206,002422,科伦药业,2016-08-01,0.15
207,600900,长江电力,2016-08-01,1.03
208,600863,内蒙华电,2016-08-01,0.1
209,601288,农业银行,2016-08-01,1.39
210,600783,鲁信创投,2016-08-01,0.07
211,600887,伊利股份,2016-08-01,1.27
212,000623,吉林敖东,2016-08-01,0.21
213,601939,建设银行,2016-08-01,0.46
214,000002,万 科Ａ,2016-08-01,1.56
215,600704,物产中大,2016-08-01,0.12
216,601857,中国石油,2016-08-01,0.41
217,000625,长安汽车,2016-08-01,0.43
218,600252,中恒集团,2016-08-01,0.14
219,000063,中兴通讯,2016-08-01,0.39
220,600085,同仁堂,2016-08-01,0.2
221,000858,五 粮 液,2016-08-01,0.77
222,002081,金 螳 螂,2016-08-01,0.18
223,600309,万华化学,2016-08-01,0.23
224,600376,首开股份,2016-08-01,0.13
225,600048,保利地产,2016-08-01,0.73
226,601808,中海油服,2016-08-01,0.08
227,000792,盐湖股份,2016-08-01,0.17
228,600741,华域汽车,2016-08-01,0.24
229,600089,特变电工,2016-08-01,0.27
230,601088,中国神华,2016-08-01,0.34
231,002304,洋河股份,2016-08-01,0.49
232,601336,新华保险,2016-08-01,0.39
233,600111,北方稀土,2016-08-01,0.33
