,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,300736,百华悦邦,0.99,37.5,4.22,25.44,2.08,4007.67,39.28,10派6,12-26
1,002923,润都股份,0.95,20.25,4.14,25.35,0.67,7116.54,19.57,,12-18
2,002921,联诚精密,0.72,,,11.99,0.94,4326.35,-11.0,,12-13
3,603080,新疆火炬,1.01,5.21,3.07,42.01,1.16,9860.65,10.7,,12-12
4,603329,上海雅仕,0.76,,,23.5,1.1,7568.34,13.22,,12-12
5,002922,伊戈尔,1.42,389.66,4.32,38.77,0.86,12668.81,385.55,,12-12
6,300735,光弘科技,0.4,,1.55,23.39,0.45,9517.44,37.95,,12-11
7,603655,朗博科技,0.53,-5.36,3.2,17.47,0.39,3414.13,-2.76,,12-11
8,300684,中石科技,0.52,-41.8,4.62,11.37,0.23,3369.34,-38.99,,12-06
9,002920,德赛西威,0.8,,,49.99,0.55,35887.45,116.81,,12-05
10,603283,赛腾股份,1.06,-10.92,2.1,60.09,0.55,12704.65,-4.38,,12-05
11,002919,名臣健康,0.76,,3.77,21.52,1.86,4350.85,36.88,,11-29
12,002918,蒙娜丽莎,1.04,52.94,,27.64,1.26,11574.35,50.41,,11-29
13,300732,设研院,1.06,27.71,9.67,10.32,0.44,4994.79,34.27,,11-28
14,603477,振静股份,0.23,27.78,,12.8,0.37,3972.05,57.69,,11-28
15,603161,科华控股,0.87,16.0,,21.58,0.17,8102.25,35.73,,11-27
16,603890,春秋电子,0.96,,1.86,49.41,1.04,8709.37,53.63,,11-21
17,002917,金奥博,,,,43.75,,7252.65,149.67,,11-21
18,300731,科创新源,0.59,-36.56,2.51,29.98,0.85,3535.83,-36.94,,11-20
19,002915,中欣氟材,0.56,30.23,2.89,19.77,0.34,3654.66,30.07,,11-14
20,603917,合力科技,0.88,24.35,3.99,24.4,0.68,7382.56,24.35,,11-14
21,300730,科创信息,0.49,145.0,2.13,25.87,1.12,3433.93,145.02,,11-14
22,002913,奥士康,1.62,,,30.66,2.3,16175.69,22.86,,11-13
23,603711,香飘飘,0.57,11.76,2.77,22.77,0.31,20394.76,10.08,,11-13
24,603848,好太太,,,,34.01,,13336.11,19.3,,11-13
