,date,open,close,high,low,volume,code
0,2011-01-04,5.218,5.307,5.315,5.113,572249.0,600019
1,2011-01-05,5.259,5.226,5.267,5.202,334574.0,600019
2,2011-01-06,5.234,5.234,5.267,5.178,248061.0,600019
3,2011-01-07,5.234,5.315,5.413,5.194,562598.0,600019
4,2011-01-10,5.299,5.283,5.38,5.275,422610.0,600019
5,2011-01-11,5.283,5.429,5.445,5.275,608401.0,600019
6,2011-01-12,5.445,5.534,5.591,5.405,815284.0,600019
7,2011-01-13,5.567,5.486,5.591,5.453,511347.0,600019
8,2011-01-14,5.486,5.437,5.486,5.356,415524.0,600019
9,2011-01-17,5.38,5.291,5.461,5.251,524684.0,600019
10,2011-01-18,5.275,5.291,5.315,5.226,292423.0,600019
11,2011-01-19,5.307,5.34,5.348,5.251,294649.0,600019
12,2011-01-20,5.332,5.186,5.332,5.17,377018.0,600019
13,2011-01-21,5.178,5.315,5.405,5.153,457733.0,600019
14,2011-01-24,5.324,5.372,5.469,5.299,505606.0,600019
15,2011-01-25,5.38,5.478,5.68,5.372,1172724.0,600019
16,2011-01-26,5.478,5.559,5.583,5.388,600189.0,600019
17,2011-01-27,5.486,5.559,5.607,5.421,604744.0,600019
18,2011-01-28,5.55,5.51,5.559,5.478,305764.0,600019
19,2011-01-31,5.518,5.599,5.656,5.502,429559.0,600019
20,2011-02-01,5.615,5.559,5.623,5.526,208085.0,600019
21,2011-02-09,5.526,5.526,5.575,5.494,237872.0,600019
22,2011-02-10,5.51,5.591,5.607,5.469,382712.0,600019
23,2011-02-11,5.583,5.664,5.745,5.567,732304.0,600019
24,2011-02-14,5.664,5.858,5.939,5.664,1115095.0,600019
25,2011-02-15,5.883,5.818,5.939,5.818,615498.0,600019
26,2011-02-16,5.818,5.98,6.02,5.818,947600.0,600019
27,2011-02-17,5.988,5.964,6.037,5.915,532483.0,600019
28,2011-02-18,5.964,5.81,5.964,5.802,493812.0,600019
29,2011-02-21,5.777,5.891,5.915,5.761,393844.0,600019
30,2011-02-22,5.899,5.664,5.915,5.648,718195.0,600019
31,2011-02-23,5.656,5.648,5.704,5.591,368717.0,600019
32,2011-02-24,5.648,5.623,5.648,5.55,507112.0,600019
33,2011-02-25,5.599,5.55,5.599,5.502,697795.0,600019
34,2011-02-28,5.55,5.631,5.631,5.518,382015.0,600019
35,2011-03-01,5.64,5.631,5.688,5.591,429740.0,600019
36,2011-03-02,5.591,5.575,5.631,5.55,372792.0,600019
37,2011-03-03,5.599,5.615,5.68,5.575,751783.0,600019
38,2011-03-04,5.623,5.729,5.794,5.623,832262.0,600019
39,2011-03-07,5.745,5.858,5.883,5.712,1088066.0,600019
40,2011-03-08,5.85,5.915,5.939,5.834,1078614.0,600019
41,2011-03-09,5.939,5.834,5.939,5.81,639076.0,600019
42,2011-03-10,5.818,5.753,5.842,5.745,477572.0,600019
43,2011-03-11,5.729,5.729,5.769,5.68,350270.0,600019
44,2011-03-14,5.915,5.85,5.996,5.818,1019662.0,600019
45,2011-03-15,5.85,5.947,5.956,5.688,946211.0,600019
46,2011-03-16,5.956,6.037,6.061,5.866,1428682.0,600019
47,2011-03-17,5.972,5.712,5.972,5.672,2077451.0,600019
48,2011-03-18,5.753,5.672,5.785,5.656,1457522.0,600019
49,2011-03-21,5.688,5.664,5.721,5.631,668545.0,600019
50,2011-03-22,5.672,5.648,5.688,5.591,481786.0,600019
51,2011-03-23,5.631,5.696,5.704,5.623,462008.0,600019
52,2011-03-24,5.696,5.656,5.704,5.648,434030.0,600019
53,2011-03-25,5.672,5.68,5.729,5.64,1068507.0,600019
54,2011-03-28,5.729,5.834,5.883,5.721,1472244.0,600019
55,2011-03-29,5.834,5.802,5.947,5.785,1327317.0,600019
56,2011-03-30,5.81,5.818,5.842,5.721,693005.0,600019
57,2011-03-31,5.834,5.729,5.842,5.721,547345.0,600019
58,2011-04-01,5.737,5.794,5.802,5.704,482537.0,600019
59,2011-04-06,5.761,5.858,5.939,5.753,1204408.0,600019
60,2011-04-07,5.858,5.875,5.956,5.842,999082.0,600019
61,2011-04-08,5.834,5.866,5.899,5.794,809364.0,600019
62,2011-04-11,5.891,5.923,6.045,5.834,2129293.0,600019
63,2011-04-12,5.875,6.093,6.223,5.842,2758699.0,600019
64,2011-04-13,6.037,6.045,6.053,5.956,950377.0,600019
65,2011-04-14,6.045,6.012,6.101,6.004,792282.0,600019
66,2011-04-15,5.996,5.931,5.996,5.842,896643.0,600019
67,2011-04-18,5.915,5.98,6.02,5.875,753525.0,600019
68,2011-04-19,5.939,5.956,6.077,5.875,851547.0,600019
69,2011-04-20,5.956,5.891,5.972,5.875,515380.0,600019
70,2011-04-21,5.899,5.947,6.061,5.891,1042178.0,600019
71,2011-04-22,5.972,5.931,6.012,5.899,618186.0,600019
72,2011-04-25,5.899,5.769,5.907,5.737,795481.0,600019
73,2011-04-26,5.761,5.745,5.794,5.721,356028.0,600019
74,2011-04-27,5.777,5.704,5.81,5.656,687305.0,600019
75,2011-04-28,5.712,5.591,5.737,5.55,604404.0,600019
76,2011-05-03,5.664,5.712,5.729,5.615,484134.0,600019
77,2011-05-04,5.696,5.599,5.696,5.559,567189.0,600019
78,2011-05-05,5.567,5.648,5.696,5.534,491749.0,600019
79,2011-05-06,5.575,5.583,5.615,5.542,363045.0,600019
80,2011-05-09,5.591,5.583,5.631,5.559,249424.0,600019
81,2011-05-10,5.591,5.599,5.607,5.534,285542.0,600019
82,2011-05-11,5.591,5.567,5.599,5.534,248203.0,600019
83,2011-05-12,5.542,5.461,5.575,5.453,450879.0,600019
84,2011-05-13,5.461,5.437,5.486,5.348,658921.0,600019
85,2011-05-16,5.413,5.364,5.429,5.348,368265.0,600019
86,2011-05-17,5.364,5.413,5.437,5.348,325039.0,600019
87,2011-05-18,5.421,5.445,5.461,5.405,354348.0,600019
88,2011-05-19,5.453,5.38,5.461,5.34,620594.0,600019
89,2011-05-20,5.364,5.348,5.372,5.34,391968.0,600019
90,2011-05-23,5.34,5.194,5.364,5.186,518333.0,600019
91,2011-05-24,5.202,5.17,5.218,5.121,463411.0,600019
92,2011-05-25,5.17,5.137,5.178,5.129,243792.0,600019
93,2011-05-26,5.162,5.129,5.17,5.121,278229.0,600019
94,2011-05-27,5.137,5.105,5.162,5.089,385727.0,600019
95,2011-05-30,5.113,5.056,5.121,5.032,416395.0,600019
96,2011-05-31,5.072,5.162,5.162,5.064,537988.0,600019
97,2011-06-01,5.153,5.137,5.162,5.113,435822.0,600019
98,2011-06-02,5.105,5.153,5.17,5.089,502690.0,600019
99,2011-06-03,5.153,5.194,5.21,5.129,341248.0,600019
100,2011-06-07,5.202,5.251,5.259,5.194,385601.0,600019
101,2011-06-08,5.259,5.259,5.275,5.186,492793.0,600019
102,2011-06-09,5.259,5.149,5.259,5.14,379788.0,600019
103,2011-06-10,5.123,5.149,5.166,5.089,350792.0,600019
104,2011-06-13,5.132,5.106,5.132,5.047,230300.0,600019
105,2011-06-14,5.089,5.149,5.166,5.072,310369.0,600019
106,2011-06-15,5.149,5.132,5.217,5.115,359871.0,600019
107,2011-06-16,5.098,5.047,5.106,5.047,309150.0,600019
108,2011-06-17,5.055,5.03,5.098,5.021,278588.0,600019
109,2011-06-20,5.03,4.953,5.047,4.936,321591.0,600019
110,2011-06-21,4.962,5.004,5.013,4.945,291353.0,600019
111,2011-06-22,5.021,4.979,5.03,4.945,225318.0,600019
112,2011-06-23,4.97,5.038,5.055,4.936,399133.0,600019
113,2011-06-24,5.013,5.157,5.183,5.004,710358.0,600019
114,2011-06-27,5.149,5.149,5.174,5.106,474458.0,600019
115,2011-06-28,5.132,5.115,5.149,5.081,335781.0,600019
116,2011-06-29,5.123,5.038,5.123,5.038,427671.0,600019
117,2011-06-30,5.047,5.123,5.132,5.047,499530.0,600019
118,2011-07-01,5.123,5.106,5.14,5.089,362891.0,600019
119,2011-07-04,5.123,5.234,5.242,5.106,803039.0,600019
120,2011-07-05,5.251,5.234,5.268,5.217,494494.0,600019
121,2011-07-06,5.234,5.183,5.234,5.14,515089.0,600019
122,2011-07-07,5.166,5.166,5.208,5.149,380795.0,600019
123,2011-07-08,5.183,5.149,5.183,5.115,749945.0,600019
124,2011-07-11,5.132,5.149,5.157,5.106,522303.0,600019
125,2011-07-12,5.123,5.03,5.123,5.03,660690.0,600019
126,2011-07-13,5.038,5.089,5.089,5.038,362030.0,600019
127,2011-07-14,5.081,5.072,5.089,5.03,497361.0,600019
128,2011-07-15,5.055,5.106,5.123,5.03,614410.0,600019
129,2011-07-18,5.098,5.089,5.106,5.072,278157.0,600019
130,2011-07-19,5.072,5.038,5.081,5.021,388330.0,600019
131,2011-07-20,5.055,5.03,5.072,5.013,355569.0,600019
132,2011-07-21,5.038,5.004,5.047,4.996,280434.0,600019
133,2011-07-22,5.013,5.013,5.03,4.996,204139.0,600019
134,2011-07-25,4.996,4.928,4.996,4.902,490931.0,600019
135,2011-07-26,4.911,4.945,4.945,4.902,193520.0,600019
136,2011-07-27,4.928,4.936,4.945,4.902,293622.0,600019
137,2011-07-28,4.911,4.911,4.928,4.894,217244.0,600019
138,2011-07-29,4.911,4.936,4.97,4.868,291654.0,600019
139,2011-08-01,4.936,4.928,4.945,4.911,173377.0,600019
140,2011-08-02,4.902,4.851,4.911,4.826,285290.0,600019
141,2011-08-03,4.826,4.826,4.936,4.8,331191.0,600019
142,2011-08-04,4.834,4.843,4.868,4.809,224533.0,600019
143,2011-08-05,4.741,4.69,4.749,4.673,556850.0,600019
144,2011-08-08,4.656,4.444,4.673,4.401,595354.0,600019
145,2011-08-09,4.325,4.418,4.427,4.274,593026.0,600019
146,2011-08-10,4.469,4.478,4.545,4.41,663041.0,600019
147,2011-08-11,4.41,4.495,4.503,4.384,466301.0,600019
148,2011-08-12,4.511,4.52,4.554,4.495,394136.0,600019
149,2011-08-15,4.528,4.571,4.579,4.511,309695.0,600019
150,2011-08-16,4.571,4.545,4.605,4.537,278180.0,600019
151,2011-08-17,4.537,4.528,4.554,4.52,136425.0,600019
152,2011-08-18,4.537,4.444,4.554,4.435,252955.0,600019
153,2011-08-19,4.376,4.393,4.41,4.342,321812.0,600019
154,2011-08-22,4.401,4.376,4.418,4.367,168147.0,600019
155,2011-08-23,4.384,4.452,4.461,4.384,177509.0,600019
156,2011-08-24,4.461,4.461,4.503,4.452,208790.0,600019
