,date,open,close,high,low,volume,code
0,2011-01-04,9.064,9.064,9.088,8.93,23108.0,002249
1,2011-01-05,8.999,9.228,9.24,8.918,42972.0,002249
2,2011-01-06,9.213,9.243,9.356,9.145,43874.0,002249
3,2011-01-07,9.136,8.933,9.231,8.835,27222.0,002249
4,2011-01-10,8.909,8.566,8.909,8.557,35302.0,002249
5,2011-01-11,8.566,8.641,8.647,8.408,20000.0,002249
6,2011-01-12,8.733,8.682,8.733,8.614,14144.0,002249
7,2011-01-13,8.691,8.647,8.73,8.527,8840.0,002249
8,2011-01-14,8.59,8.471,8.632,8.423,11779.0,002249
9,2011-01-17,8.462,8.107,8.498,7.961,24929.0,002249
10,2011-01-18,8.095,7.874,8.095,7.752,22326.0,002249
11,2011-01-19,8.038,8.14,8.152,7.889,12511.0,002249
12,2011-01-20,8.143,7.967,8.149,7.931,12619.0,002249
13,2011-01-21,7.967,8.39,8.489,7.967,15135.0,002249
14,2011-01-24,8.372,8.349,8.498,8.205,18582.0,002249
15,2011-01-25,8.185,7.922,8.408,7.752,14402.0,002249
16,2011-01-26,7.922,8.021,8.125,7.922,7381.0,002249
17,2011-01-27,8.018,8.047,8.188,7.901,10241.0,002249
18,2011-01-28,7.937,8.08,8.28,7.937,15848.0,002249
19,2011-01-31,8.11,8.304,8.372,7.901,17573.0,002249
20,2011-02-01,8.304,8.349,8.372,8.259,12675.0,002249
21,2011-02-09,8.343,8.199,8.343,8.188,7070.0,002249
22,2011-02-10,8.182,8.337,8.349,8.062,11882.0,002249
23,2011-02-11,8.319,8.647,8.691,8.292,35403.0,002249
24,2011-02-14,8.62,8.668,8.709,8.495,24959.0,002249
25,2011-02-15,8.688,8.575,8.852,8.575,30686.0,002249
26,2011-02-16,8.51,8.703,8.73,8.489,18386.0,002249
27,2011-02-17,8.858,9.428,9.538,8.858,86595.0,002249
28,2011-02-18,9.362,9.267,9.374,9.157,37112.0,002249
29,2011-02-22,9.538,9.124,9.595,9.115,72922.0,002249
30,2011-02-23,9.154,9.168,9.389,9.031,36195.0,002249
31,2011-02-24,9.168,9.231,9.27,9.094,22934.0,002249
32,2011-02-25,9.306,9.183,9.38,9.139,26994.0,002249
33,2011-02-28,9.183,9.237,9.3,9.124,26183.0,002249
34,2011-03-01,9.228,9.341,9.482,9.228,38721.0,002249
35,2011-03-02,9.342,9.417,9.532,9.056,31442.0,002249
36,2011-03-03,9.432,9.42,9.718,9.417,49349.0,002249
37,2011-03-04,9.42,9.441,9.447,9.086,48109.0,002249
38,2011-03-07,9.372,9.345,9.444,9.207,33012.0,002249
39,2011-03-08,9.321,9.405,9.568,9.222,31499.0,002249
40,2011-03-09,9.417,9.327,9.562,9.297,20724.0,002249
41,2011-03-10,9.267,9.152,9.315,9.149,23433.0,002249
42,2011-03-11,9.14,9.143,9.306,9.065,20745.0,002249
43,2011-03-14,9.071,9.113,9.198,8.99,25297.0,002249
44,2011-03-15,9.116,8.933,9.171,8.725,24455.0,002249
45,2011-03-16,8.785,8.936,9.071,8.785,14052.0,002249
46,2011-03-17,8.879,8.8,8.882,8.716,21518.0,002249
47,2011-03-18,8.816,8.99,9.044,8.776,19848.0,002249
48,2011-03-21,9.267,9.387,9.739,9.258,84676.0,002249
49,2011-03-22,9.411,9.58,9.688,9.207,69413.0,002249
50,2011-03-23,9.583,9.586,9.673,9.39,30614.0,002249
51,2011-03-24,9.55,9.52,9.592,9.417,25927.0,002249
52,2011-03-25,9.52,9.297,9.52,9.273,33156.0,002249
