,date,open,close,high,low,volume,code
0,2011-01-04,39.912,39.956,40.019,38.971,24247.0,600729
1,2011-01-05,39.93,41.474,42.167,39.415,25777.0,600729
2,2011-01-06,41.359,40.551,41.572,40.391,9250.0,600729
3,2011-01-07,40.383,40.729,40.826,39.504,10294.0,600729
4,2011-01-10,41.35,40.409,41.35,39.504,8967.0,600729
5,2011-01-11,39.513,41.093,41.812,39.513,5553.0,600729
6,2011-01-12,41.501,40.702,41.501,39.877,1969.0,600729
7,2011-01-13,40.48,39.93,40.48,39.504,2833.0,600729
8,2011-01-14,39.45,39.743,40.818,39.45,5501.0,600729
9,2011-01-17,39.681,37.276,39.681,36.841,7959.0,600729
10,2011-01-18,37.276,37.258,37.986,36.645,5158.0,600729
11,2011-01-19,37.284,38.225,38.794,36.885,3982.0,600729
12,2011-01-20,37.719,37.213,38.03,36.45,2639.0,600729
13,2011-01-21,37.107,37.497,37.835,36.574,1763.0,600729
14,2011-01-24,36.752,36.343,37.205,34.639,5628.0,600729
15,2011-01-25,35.687,36.201,36.397,35.11,4610.0,600729
16,2011-01-26,36.193,36.308,36.574,35.846,1860.0,600729
17,2011-01-27,35.775,37.187,37.284,35.775,1464.0,600729
18,2011-01-28,37.364,37.284,37.861,36.841,2968.0,600729
19,2011-01-31,37.4,37.622,37.817,37.009,3550.0,600729
20,2011-02-01,37.702,37.879,38.518,37.382,4116.0,600729
21,2011-02-09,37.817,37.142,37.817,36.53,4407.0,600729
22,2011-02-10,37.107,37.959,38.03,36.796,9388.0,600729
23,2011-02-11,37.959,38.501,39.326,36.938,22312.0,600729
24,2011-02-14,38.465,38.74,38.918,38.261,9220.0,600729
25,2011-02-15,38.74,38.208,39.06,38.083,7771.0,600729
26,2011-02-16,38.172,38.172,38.376,37.382,6067.0,600729
27,2011-02-17,38.146,37.861,38.146,37.533,4518.0,600729
28,2011-02-18,37.64,37.684,37.728,36.974,4978.0,600729
29,2011-02-21,37.808,37.462,37.808,37.054,13125.0,600729
30,2011-02-22,37.533,36.805,37.533,36.503,7147.0,600729
31,2011-02-23,36.592,37.293,37.418,36.29,9378.0,600729
32,2011-02-24,36.619,37.338,37.711,36.45,6626.0,600729
33,2011-02-25,37.595,37.258,37.64,36.823,5391.0,600729
34,2011-02-28,37.178,38.172,38.394,36.752,15735.0,600729
35,2011-03-01,38.35,38.847,39.282,38.252,27102.0,600729
36,2011-03-02,38.882,39.77,40.125,38.882,17620.0,600729
37,2011-03-03,40.391,40.391,40.968,39.593,45268.0,600729
38,2011-03-04,40.383,40.09,40.383,39.078,5356.0,600729
39,2011-03-07,40.285,39.513,40.4,39.149,16304.0,600729
40,2011-03-08,39.486,38.794,39.486,38.403,15389.0,600729
41,2011-03-09,39.042,39.051,39.548,38.705,8400.0,600729
42,2011-03-10,38.776,39.042,39.45,38.616,15348.0,600729
43,2011-03-11,39.033,38.731,39.193,38.51,4304.0,600729
44,2011-03-14,38.51,38.882,38.971,38.305,6998.0,600729
45,2011-03-15,38.501,38.625,38.882,38.35,14321.0,600729
46,2011-03-16,38.785,39.033,39.237,38.66,13458.0,600729
47,2011-03-17,39.024,37.773,39.024,37.728,18734.0,600729
48,2011-03-18,38.03,37.0,38.217,36.841,14967.0,600729
49,2011-03-21,37.0,36.929,37.364,36.716,10149.0,600729
50,2011-03-22,36.974,36.725,37.276,36.397,8551.0,600729
