,date,open,close,high,low,volume,code
0,2011-06-15,6.444,6.444,6.444,6.444,595.0,000587
1,2011-06-16,6.764,6.764,6.764,6.764,421.0,000587
2,2011-06-17,7.104,7.104,7.104,7.104,286.0,000587
3,2011-06-20,7.458,7.458,7.458,7.458,492.0,000587
4,2011-06-21,7.833,7.833,7.833,7.833,24536.0,000587
5,2011-08-18,4.774,5.981,6.838,4.685,1555520.0,000587
6,2011-08-19,5.68,6.281,6.281,5.68,879251.0,000587
7,2011-08-22,6.419,6.596,6.596,6.394,309706.0,000587
8,2011-08-23,6.926,6.926,6.926,6.926,29410.0,000587
9,2011-08-29,7.271,6.931,7.271,6.591,859639.0,000587
10,2011-08-30,6.818,7.168,7.271,6.651,581836.0,000587
11,2011-08-31,7.079,7.389,7.513,7.0,499232.0,000587
12,2011-09-01,7.389,7.212,7.7,7.197,463080.0,000587
13,2011-09-02,7.158,6.852,7.266,6.852,442976.0,000587
14,2011-09-05,6.823,6.508,6.912,6.508,333493.0,000587
15,2011-09-06,6.404,6.557,6.729,6.197,359984.0,000587
16,2011-09-07,6.488,6.355,6.532,6.325,254778.0,000587
17,2011-09-08,6.286,6.468,6.562,6.237,262630.0,000587
18,2011-09-09,6.453,6.148,6.493,6.143,287757.0,000587
19,2011-09-13,6.005,6.074,6.256,5.916,151054.0,000587
20,2011-09-14,6.104,6.281,6.37,6.079,199274.0,000587
21,2011-09-15,6.256,6.256,6.325,6.197,134267.0,000587
22,2011-09-16,6.222,6.572,6.572,6.158,343639.0,000587
23,2011-09-19,6.567,6.606,6.7,6.478,293862.0,000587
24,2011-09-20,6.562,6.478,6.596,6.404,156127.0,000587
25,2011-09-21,6.478,6.582,6.729,6.478,223331.0,000587
26,2011-09-22,6.488,6.251,6.567,6.251,243498.0,000587
27,2011-09-23,6.01,5.941,6.059,5.941,206188.0,000587
28,2011-09-26,5.833,5.798,5.976,5.779,125035.0,000587
29,2011-09-27,5.848,5.577,5.882,5.527,155517.0,000587
30,2011-09-28,5.636,5.562,5.7,5.522,122965.0,000587
31,2011-09-29,5.458,5.286,5.458,5.286,123486.0,000587
32,2011-09-30,5.187,5.104,5.271,5.045,110766.0,000587
33,2011-10-10,5.114,5.36,5.36,5.114,123863.0,000587
34,2011-10-11,5.542,5.404,5.626,5.291,215975.0,000587
35,2011-10-12,5.311,5.537,5.557,5.178,131550.0,000587
36,2011-10-13,5.522,5.503,5.542,5.424,107545.0,000587
37,2011-10-14,5.458,5.606,5.754,5.429,134803.0,000587
38,2011-10-17,5.567,5.458,5.665,5.429,104544.0,000587
39,2011-10-18,5.389,5.187,5.389,5.187,103272.0,000587
40,2011-10-19,5.099,4.98,5.153,4.951,113684.0,000587
41,2011-10-20,4.877,4.912,4.946,4.779,99001.0,000587
42,2011-10-21,4.926,4.877,5.049,4.852,77566.0,000587
43,2011-10-24,4.902,4.857,4.951,4.636,112043.0,000587
44,2011-10-25,4.847,5.059,5.069,4.818,110820.0,000587
45,2011-10-26,5.074,5.163,5.286,5.064,149285.0,000587
46,2011-10-28,5.36,5.158,5.36,5.089,204011.0,000587
47,2011-10-31,5.158,5.197,5.301,5.109,96431.0,000587
48,2011-11-01,5.123,5.123,5.182,5.049,90144.0,000587
49,2011-11-02,5.035,5.197,5.232,4.956,113973.0,000587
50,2011-11-03,5.202,5.237,5.409,5.153,161325.0,000587
51,2011-11-04,5.33,5.498,5.498,5.281,196127.0,000587
52,2011-11-07,5.498,5.582,5.65,5.468,226780.0,000587
53,2011-11-08,5.582,5.517,5.601,5.424,132787.0,000587
54,2011-11-09,5.513,5.547,5.591,5.448,77589.0,000587
55,2011-11-10,5.478,5.36,5.493,5.36,96544.0,000587
56,2011-11-11,5.375,5.404,5.458,5.36,53486.0,000587
57,2011-11-14,5.458,5.522,5.557,5.458,72135.0,000587
58,2011-11-15,5.527,5.798,5.798,5.483,227187.0,000587
59,2011-11-16,5.798,5.621,5.907,5.577,179773.0,000587
60,2011-11-17,5.665,5.902,5.902,5.621,183712.0,000587
61,2011-11-18,5.838,6.035,6.183,5.783,261501.0,000587
62,2011-11-22,5.926,6.133,6.281,5.764,233007.0,000587
63,2011-11-23,6.099,6.01,6.306,6.005,144935.0,000587
64,2011-11-24,5.892,5.916,6.143,5.862,109936.0,000587
65,2011-11-25,5.926,5.636,5.99,5.621,144932.0,000587
66,2011-11-28,5.606,5.685,5.779,5.601,90988.0,000587
67,2011-11-29,5.769,5.7,5.774,5.606,92647.0,000587
68,2011-11-30,5.67,5.414,5.705,5.414,86544.0,000587
69,2011-12-01,5.542,5.409,5.616,5.394,119441.0,000587
70,2011-12-02,5.365,5.148,5.419,5.138,99069.0,000587
71,2011-12-05,5.207,5.163,5.296,5.054,63357.0,000587
72,2011-12-06,5.163,5.261,5.261,5.089,60302.0,000587
73,2011-12-07,5.311,5.389,5.517,5.266,89536.0,000587
74,2011-12-09,5.345,5.237,5.384,5.178,54746.0,000587
75,2011-12-12,5.232,5.163,5.276,5.133,48615.0,000587
76,2011-12-13,5.123,5.197,5.217,5.084,37515.0,000587
77,2011-12-14,5.099,4.867,5.148,4.867,73287.0,000587
78,2011-12-15,4.739,4.626,4.739,4.626,55998.0,000587
79,2011-12-16,4.641,4.788,4.852,4.641,88606.0,000587
80,2011-12-19,4.803,4.892,4.912,4.695,71612.0,000587
81,2011-12-20,4.867,4.823,4.951,4.808,69811.0,000587
82,2011-12-21,4.877,4.581,4.902,4.581,69520.0,000587
83,2011-12-22,4.355,4.394,4.542,4.355,79681.0,000587
84,2011-12-30,4.178,4.33,4.404,4.178,70928.0,000587
85,2012-01-04,4.434,4.537,4.547,4.414,97251.0,000587
86,2012-01-05,4.503,4.33,4.601,4.311,87906.0,000587
87,2012-01-06,4.276,4.335,4.35,4.143,58167.0,000587
88,2012-01-09,4.478,4.552,4.552,4.424,87280.0,000587
89,2012-01-10,4.572,4.729,4.779,4.537,104921.0,000587
90,2012-01-11,4.724,4.803,4.857,4.685,72351.0,000587
91,2012-01-12,4.779,4.788,4.862,4.71,75535.0,000587
92,2012-01-13,4.793,4.961,5.03,4.788,149677.0,000587
93,2012-01-16,4.926,4.759,5.064,4.734,99411.0,000587
94,2012-01-17,4.774,4.995,4.995,4.71,119012.0,000587
95,2012-01-18,5.049,4.976,5.143,4.941,95262.0,000587
96,2012-01-19,4.961,5.212,5.227,4.926,143237.0,000587
97,2012-01-20,5.212,5.434,5.463,5.187,127835.0,000587
98,2012-01-30,5.626,5.557,5.705,5.547,208431.0,000587
99,2012-02-01,5.606,5.409,5.793,5.409,197181.0,000587
100,2012-02-02,5.453,5.508,5.547,5.414,120791.0,000587
101,2012-02-03,5.527,5.591,5.715,5.493,128414.0,000587
102,2012-02-06,5.517,5.488,5.586,5.434,110667.0,000587
103,2012-02-07,5.424,5.582,5.641,5.375,124537.0,000587
104,2012-02-08,5.582,5.862,5.862,5.582,200852.0,000587
105,2012-02-09,5.872,5.862,6.04,5.788,192265.0,000587
106,2012-02-10,5.813,6.158,6.158,5.808,185661.0,000587
107,2012-02-13,6.158,6.468,6.468,6.084,230158.0,000587
108,2012-02-14,6.493,6.636,6.636,6.36,220536.0,000587
109,2012-02-15,6.651,6.522,6.71,6.513,158920.0,000587
110,2012-02-16,6.577,6.848,6.848,6.557,205471.0,000587
111,2012-02-17,6.897,7.192,7.192,6.833,254578.0,000587
112,2012-02-21,6.833,6.833,7.064,6.833,226658.0,000587
113,2012-02-22,6.902,6.71,7.123,6.655,338141.0,000587
114,2012-02-23,6.655,6.517,6.798,6.375,335128.0,000587
115,2012-03-05,6.37,6.365,6.522,6.222,245748.0,000587
116,2012-03-06,6.33,6.389,6.522,6.33,179432.0,000587
117,2012-03-07,6.286,6.247,6.335,6.173,126825.0,000587
118,2012-03-08,6.271,6.434,6.527,6.271,157902.0,000587
119,2012-03-09,6.453,6.439,6.547,6.419,126261.0,000587
120,2012-03-13,6.419,6.133,6.453,6.118,258166.0,000587
121,2012-03-14,6.118,5.833,6.202,5.828,255800.0,000587
122,2012-03-15,5.803,5.902,5.902,5.626,160270.0,000587
123,2012-03-16,5.877,6.128,6.187,5.877,187798.0,000587
124,2012-03-19,6.089,6.054,6.178,5.936,105418.0,000587
125,2012-03-20,6.064,6.025,6.207,6.015,115295.0,000587
126,2012-03-21,6.025,5.887,6.074,5.734,120219.0,000587
127,2012-03-22,5.848,6.094,6.143,5.813,147036.0,000587
128,2012-03-23,6.049,6.114,6.118,5.926,109832.0,000587
129,2012-03-26,6.109,6.286,6.32,5.966,169856.0,000587
130,2012-03-27,6.291,6.242,6.38,6.178,126538.0,000587
131,2012-03-28,6.173,5.931,6.335,5.931,159506.0,000587
132,2012-03-29,5.783,5.636,5.862,5.636,144562.0,000587
133,2012-03-30,5.567,5.542,5.655,5.394,89118.0,000587
134,2012-04-05,5.562,5.665,5.69,5.399,83508.0,000587
135,2012-04-06,5.641,5.719,5.808,5.621,66626.0,000587
136,2012-04-09,5.68,5.621,5.779,5.557,56455.0,000587
137,2012-04-10,5.552,5.734,5.754,5.527,68858.0,000587
138,2012-04-11,5.68,5.882,5.946,5.68,90970.0,000587
139,2012-04-12,5.902,5.907,5.926,5.803,79107.0,000587
140,2012-04-13,5.902,5.877,5.936,5.798,85609.0,000587
141,2012-04-16,5.675,5.582,5.744,5.582,132487.0,000587
142,2012-04-17,5.527,5.586,5.665,5.517,71681.0,000587
143,2012-04-18,5.606,5.655,5.685,5.572,61346.0,000587
144,2012-04-19,5.646,5.572,5.65,5.537,47108.0,000587
145,2012-04-20,5.542,5.641,5.685,5.537,49564.0,000587
146,2012-04-23,5.616,5.503,5.616,5.36,109816.0,000587
147,2012-04-24,5.424,5.227,5.458,5.227,91912.0,000587
148,2012-04-25,5.182,5.261,5.335,5.123,53330.0,000587
149,2012-04-26,5.222,5.261,5.325,5.212,45984.0,000587
150,2012-04-27,5.301,5.384,5.453,5.276,50644.0,000587
151,2012-05-02,5.384,5.389,5.493,5.325,63492.0,000587
152,2012-05-03,5.389,5.419,5.434,5.202,72755.0,000587
153,2012-05-04,5.69,5.69,5.69,5.65,57661.0,000587
154,2012-05-07,5.956,5.976,5.976,5.793,189321.0,000587
155,2012-05-08,5.976,6.128,6.237,5.926,166627.0,000587
156,2012-05-09,6.035,6.128,6.286,5.985,144280.0,000587
157,2012-05-10,6.099,6.434,6.434,6.064,162652.0,000587
158,2012-05-11,6.532,6.414,6.754,6.404,217295.0,000587
159,2012-05-14,6.414,6.32,6.572,6.251,145239.0,000587
160,2012-05-15,6.232,6.345,6.36,6.074,117316.0,000587
161,2012-05-16,6.306,6.591,6.66,6.261,154868.0,000587
162,2012-05-17,6.562,6.66,6.764,6.463,137731.0,000587
163,2012-05-18,6.626,6.897,6.971,6.582,192653.0,000587
164,2012-05-21,6.823,6.818,7.025,6.754,148354.0,000587
165,2012-05-22,6.838,6.784,6.936,6.67,127096.0,000587
166,2012-05-23,6.828,6.897,6.995,6.739,131123.0,000587
