date,open,high,close,low,volume,amount
2017-01-26,1906.688,1917.317,1917.317,1906.653,10373500827,144879627554
2017-01-25,1894.242,1907.067,1904.036,1892.302,11084386301,156613665895
2017-01-24,1901.529,1902.14,1896.45,1893.879,12481034793,171520434309
2017-01-23,1888.091,1907.039,1902.144,1888.091,13330395500,183623882833
2017-01-20,1854.677,1889.239,1885.775,1854.677,12638853423,181462304970
2017-01-19,1858.977,1868.596,1857.458,1850.611,11457201672,158610416748
2017-01-18,1867.978,1875.64,1864.59,1860.522,11920532501,172147181604
2017-01-17,1844.504,1873.021,1873.021,1823.507,14120461722,200821561638
2017-01-16,1914.948,1915.021,1851.41,1804.532,19327831367,259160760327
2017-01-13,1951.001,1953.928,1921.002,1918.971,14584425545,209305262562
2017-01-12,1966.659,1973.058,1951.314,1949.748,14691349323,201802441639
2017-01-11,1985.86,1992.082,1968.429,1968.429,15135279027,215376052560
2017-01-10,1993.065,1999.687,1989.29,1988.2,15856976958,222473015953
2017-01-09,1985.759,1995.12,1994.153,1981.036,15404848688,223251409764
2017-01-06,2003.356,2003.591,1988.13,1987.388,16793520022,247407969222
2017-01-05,2008.342,2011.262,2005.577,2004.999,17215477811,250316465302
2017-01-04,1986.492,2008.786,2008.786,1984.377,17626163154,254837584327
2017-01-03,1972.55,1985.954,1985.954,1972.55,14279956346,199509685707
2016-12-30,1967.528,1973.849,1969.111,1962.444,13102330955,191486918673
2016-12-29,1969.028,1979.41,1966.237,1965.157,12992263282,192481187066
2016-12-28,1978.47,1982.912,1972.346,1968.684,13842144626,197190561108
2016-12-27,1977.682,1985.875,1979.731,1976.454,13586051243,200747697885
2016-12-26,1963.09,1978.373,1978.373,1942.143,14265919529,207698573040
2016-12-23,1992.319,1993.397,1971.065,1969.511,14789104878,215430561222
2016-12-22,1995.655,1996.581,1993.366,1984.434,14583103370,211136018530
2016-12-21,1985.02,1996.359,1996.03,1985.02,15418358198,225349619451
2016-12-20,1982.475,1984.313,1981.323,1972.917,15126661705,212769825833
2016-12-19,1990.803,1990.803,1984.101,1979.561,15843201398,225112789025
2016-12-16,1973.58,1993.257,1991.635,1971.983,16659929362,243929373567
2016-12-15,1953.195,1985.602,1972.905,1951.925,16862382803,245621625312
2016-12-14,1972.998,1980.045,1959.859,1954.813,17272807166,249731573085
2016-12-13,1963.146,1982.202,1975.878,1946.699,17699095428,254805321278
2016-12-12,2068.708,2069.455,1969.325,1967.719,24313985904,357545579593
2016-12-09,2075.107,2079.564,2070.007,2066.159,16529925277,260334417815
2016-12-08,2091.667,2091.956,2077.372,2076.148,16893122376,256773129475
2016-12-07,2071.514,2090.329,2090.329,2067.125,16538902942,248168990130
2016-12-06,2071.451,2078.512,2071.442,2068.919,15338645373,242762128618
2016-12-05,2063.068,2084.24,2068.165,2059.25,18266935555,272382708159
2016-12-02,2119.179,2120.224,2084.488,2083.4,20662826000,315706787805
2016-12-01,2110.037,2119.692,2119.692,2110.037,18849190093,297979520172
2016-11-30,2106.566,2116.278,2106.91,2100.301,19422694271,300698636162
2016-11-29,2122.44,2131.79,2110.361,2110.309,22789191021,341765343778
2016-11-28,2134.615,2136.92,2126.823,2125.564,21969130789,341602243608
2016-11-25,2119.727,2129.845,2129.845,2088.316,22060930522,353335541510
2016-11-24,2126.852,2133.854,2121.49,2116.883,22785006503,366541760932
2016-11-23,2140.522,2143.781,2129.513,2125.182,24481475591,401968636424
2016-11-22,2121.936,2137.883,2137.883,2121.936,22418841293,371295386219
2016-11-21,2110.604,2122.737,2118.944,2110.285,20174881233,330073951772
2016-11-18,2117.821,2123.444,2111.276,2108.631,19897120519,308946096185
2016-11-17,2119.863,2121.251,2116.858,2106.918,21232231046,318896173938
2016-11-16,2126.45,2131.953,2124.846,2124.001,25047599802,382682858217
2016-11-15,2114.157,2124.396,2124.396,2107.256,24076664318,363694767007
2016-11-14,2103.999,2120.35,2114.3,2101.7,28535157668,421036002345
2016-11-11,2097.045,2108.032,2108.032,2093.964,28199965335,416711594858
2016-11-10,2083.709,2098.367,2096.89,2083.709,24229517347,369276500255
2016-11-09,2080.556,2082.843,2068.466,2041.333,24692473044,376387214485
2016-11-08,2073.165,2082.885,2080.435,2070.832,20016803857,304407021145
2016-11-07,2066.965,2072.586,2066.809,2060.782,20582495197,300836975822
2016-11-04,2071.601,2081.123,2067.154,2063.197,20427692685,327377117387
2016-11-03,2055.164,2085.922,2071.587,2053.542,23363251097,374684190353
2016-11-02,2069.16,2075.044,2060.053,2058.758,20802661496,326705066825
2016-11-01,2051.934,2073.113,2073.113,2051.934,17762727153,287954489663
2016-10-31,2046.272,2052.647,2050.276,2035.581,16456220200,256789110621
2016-10-28,2067.108,2074.877,2052.016,2051.979,19246306969,298573087052
2016-10-27,2067.066,2068.467,2068.086,2059.478,17815581247,271680782571
2016-10-26,2077.292,2077.308,2069.363,2063.188,21818611792,331487451761
2016-10-25,2071.165,2077.803,2077.749,2070.614,20616261270,317890430201
2016-10-24,2053.083,2073.424,2070.21,2049.727,21037271255,313520706956
2016-10-21,2059.082,2060.597,2052.562,2035.518,20091734578,304099332629
2016-10-20,2054.512,2063.017,2060.39,2052.131,19550061017,297291836934
2016-10-19,2059.459,2063.161,2053.787,2048.682,20123704758,297956483948
2016-10-18,2025.073,2056.592,2056.592,2025.041,19106515645,287387088763
2016-10-17,2048.882,2051.642,2027.557,2022.039,19194473287,284275961310
2016-10-14,2046.605,2047.746,2046.741,2032.9,17895542123,259794814952
2016-10-13,2046.812,2054.559,2049.311,2044.174,18818577450,265886963634
2016-10-12,2037.908,2047.119,2047.119,2034.548,18230670452,265440888037
2016-10-11,2033.639,2043.686,2043.686,2031.23,19424787890,279847656207
2016-10-10,2004.728,2033.383,2033.383,1999.803,18528139863,278866886845
2016-09-30,1983.99,1998.273,1995.607,1983.411,12813919853,185922438741
